name,gb,25年青��,population,NDVI count,NDVI sum,NDVI mean,TreeCover,TreeCove_1,TreeCove_2,Green numb,Class
即墨区,"156370215",136.180000000000007,713,22979368.000000000000000,11404659.386292595416307,0.496299958566859,26432.000000000000000,156015.000000000000000,5.902504539951574,0.321,中
黄岛区,"156370211",196.419999999999987,953,25508304.000000000000000,13702455.445033702999353,0.537176264052432,16735.000000000000000,263588.000000000000000,15.750702121302661,0.385,中
崂山区,"156370212",51.079999999999998,1316,4653604.000000000000000,2630576.188301756978035,0.565277189099407,61279.000000000000000,2344397.000000000000000,38.257755511676102,0.492,优
市南区,"156370202",48.850000000000001,15313,321356.999999999941792,96392.596618010400562,0.299954868317822,93.000000000000000,2575.000000000000000,27.688172043010752,0.291,差
李沧区,"156370213",75.250000000000000,7879,1175610.000000000000000,409008.080112571362406,0.347911365259373,1351.000000000000000,28289.000000000000000,20.939304219096964,0.293,差
市北区,"156370203",110.230000000000004,16667,815781.000000000000000,193690.704094988584984,0.237429780903194,259.000000000000000,5649.000000000000000,21.810810810810811,0.230,差
城阳区,"156370214",114.780000000000001,2058,6573645.000000000000000,2247436.393342300318182,0.341885878130368,20552.000000000000000,524362.000000000000000,25.513915920591671,0.307,中
莱西市,"156370285",71.909999999999997,453,19627480.000000000000000,10078687.486356362700462,0.513498803022923,6017.000000000000000,23449.000000000000000,3.897124813029749,0.324,中
胶州市,"156370281",102.189999999999998,786,16166981.000000000000000,7975655.181636915542185,0.493329903810545,6518.000000000000000,34148.000000000000000,5.239030377416386,0.317,中
平度市,"156370283",118.780000000000001,369,39700172.000000000000000,21002666.491173252463341,0.529032128404211,22889.000000000000000,108467.000000000000000,4.738826510550920,0.336,中
